Continent,Country,Region,Year:2025
Asia/Pacific,Afghanistan,North (Samangan Sar-e-Pul Balkh Jawzjan Faryab),0.4962000000000001
Asia/Pacific,Afghanistan,Central Highlands (Bamyan Daikundi),0.4828
Asia/Pacific,Afghanistan,South East (Ghazni Paktya Paktika Khost),0.48039999999999994
Europe,Albania, Tirana,0.8267999999999999
Europe,Albania, Vlore,0.8044
Europe,Albania, Durres,0.7996000000000001
Africa,Algeria,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",0.7499999999999999
Africa,Algeria,"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",0.747
Africa,Algeria,"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",0.7322
Africa,Angola, Luanda,0.6976000000000001
Africa,Angola, Cabinda,0.6634
Africa,Angola, Zaire,0.5928
America,Argentina,Patagonia,0.8532
America,Argentina,Cuyo,0.8508000000000001
America,Argentina,Gran Buenos Aires,0.8508000000000001
Europe,Armenia,Yerevan,0.8009999999999999
Europe,Armenia,Kotayk,0.7712000000000001
Europe,Armenia,Shirak,0.7612
Asia/Pacific,Australia,Australian Capital Territory,0.9616
Asia/Pacific,Australia,Western Australia,0.9517999999999998
Asia/Pacific,Australia,New South Wales,0.9321999999999999
Europe,Austria,Wien,0.9394
Europe,Austria,Salzburg,0.9306000000000001
Europe,Austria,Tirol,0.9223999999999999
Europe,Azerbaijan,Baku,0.8192
Europe,Azerbaijan,Absheron,0.7942
Europe,Azerbaijan,Shaki Zaqatala,0.7558
Asia/Pacific,Bangladesh, Dhaka,0.6748000000000001
Asia/Pacific,Bangladesh," Barisal, Jhalokati, Pirojpur",0.646
Asia/Pacific,Bangladesh," Gazipur, Narayanganj, Narsingdi",0.627
America,Barbados,"St. James, St. George, and St. Thomas",0.8098000000000001
America,Barbados,Christ Church and St. Philip,0.8032
America,Barbados,St Michael,0.7888
Europe,Belarus,Minsk region,0.8228
Europe,Belarus,Grodno region,0.8084
Europe,Belarus,Gomel region,0.8070000000000002
Europe,Belgium,Bruxelles - Brussel,0.9438000000000001
Europe,Belgium,Prov. Vlaams-Brabant,0.9408
Europe,Belgium,Prov. Antwerpen,0.9368000000000001
America,Belize,Belize,0.7458
America,Belize,"Stann Creek, Toledo",0.7258
America,Belize,"Corozal, Orange Walk",0.6868
Africa,Benin,Atlantique (incl Littoral (Cotonou)),0.587
Africa,Benin,Queme (incl Plateau),0.53
Africa,Benin,Mono (incl Couffo),0.5040000000000002
Asia/Pacific,Bhutan,Thimphu,0.7552000000000001
Asia/Pacific,Bhutan,Paro,0.6842
Asia/Pacific,Bhutan,Haa,0.6666000000000001
America,Bolivia,Santa Cruz,0.7436000000000001
